Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
.,com.thealgorithms.datastructures.caches,MRUCache.Entry,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: preEntry; nextEntry; key; value
.,com.thealgorithms.datastructures.caches,MRUCache.Entry,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.disjointsets,DisjointSets,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.disjointsets,Node,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: rank; parent; data
.,com.thealgorithms.datastructures.dynamicarray,DynamicArray,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.dynamicarray,DynamicArray.DynamicArrayIterator,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: cursor
.,com.thealgorithms.datastructures.dynamicarray,DynamicArray.DynamicArrayIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,A_Star,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,A_Star.Graph,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: graph
.,com.thealgorithms.datastructures.graphs,A_Star.Graph,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,A_Star.Edge,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: from; to; weight
.,com.thealgorithms.datastructures.graphs,A_Star.Edge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,A_Star.PathAndDistance,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: distance; path; estimated
.,com.thealgorithms.datastructures.graphs,A_Star.PathAndDistance,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,BellmanFord,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,BellmanFord.Edge,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: u; v; w
.,com.thealgorithms.datastructures.graphs,BellmanFord.Edge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,BipartiteGrapfDFS,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,Graph.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,com.thealgorithms.datastructures.graphs,Graph.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,Graph.Edge,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: startNode; endNode
.,com.thealgorithms.datastructures.graphs,Graph.Edge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,Graph.ConnectedComponent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,com.thealgorithms.datastructures.graphs,Graph.ConnectedComponent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,Cycle,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,Cycle.Cycles,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,com.thealgorithms.datastructures.graphs,Cycle.Cycles,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,dijkstras,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,FloydWarshall,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,FloydWarshall,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DistanceMatrix; numberofvertices; INFINITY
.,com.thealgorithms.datastructures.graphs,AdjacencyListGraph,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,AdjacencyListGraph.Vertex,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: data; adjacentVertices
.,com.thealgorithms.datastructures.graphs,AdjacencyListGraph.Vertex,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,AdjacencyListGraph.Graphs,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,com.thealgorithms.datastructures.graphs,AdjacencyListGraph.Graphs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,AdjacencyList.TopologicalSort,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: graph; inDegree
.,com.thealgorithms.datastructures.graphs,AdjacencyList.TopologicalSort,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,AdjacencyList.KahnsAlgorithm,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,com.thealgorithms.datastructures.graphs,AdjacencyList.KahnsAlgorithm,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,Kruskal,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,Kruskal.Edge,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: from; to; weight
.,com.thealgorithms.datastructures.graphs,Kruskal.Edge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,MatrixGraphs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,MatrixGraphs.AdjacencyMatrixGraph,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: _numberOfVertices; _numberOfEdges; _adjacency; EDGE_EXIST; EDGE_NONE
.,com.thealgorithms.datastructures.graphs,MatrixGraphs.AdjacencyMatrixGraph,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.graphs,MatrixGraphs.AdjacencyMatrixGraph,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: _numberOfVertices; _numberOfEdges; _adjacency; EDGE_EXIST; EDGE_NONE
.,com.thealgorithms.datastructures.graphs,PrimMST,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArray.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: key; value
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArray.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayList.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: key; val
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayList.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,HashMap.LinkedList,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: first
.,com.thealgorithms.datastructures.hashmap.hashing,HashMap.LinkedList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,HashMap.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: next; key
.,com.thealgorithms.datastructures.hashmap.hashing,HashMap.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,Intersection,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,LinearProbingHashMap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,MainCuckooHashing,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
.,com.thealgorithms.datastructures.hashmap.hashing,MainCuckooHashing,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.hashmap.hashing,LinearProbingHashMapTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.heaps,FibonacciHeap,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: GOLDEN_RATIO; min; totalLinks; totalCuts; numOfTrees; numOfHeapNodes; markedHeapNoodesCounter; key; rank; marked; child; next; prev; parent
.,com.thealgorithms.datastructures.heaps,FibonacciHeap.HeapNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.heaps,FibonacciHeap.HeapNode,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: key; rank; marked; child; next; prev; parent
.,com.thealgorithms.datastructures.heaps,FibonacciHeap.HeapNode,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: key; rank; marked; child; next; prev; parent
.,com.thealgorithms.datastructures.heaps,GenericHeap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.heaps,LeftistHeap.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: element; npl; left; right
.,com.thealgorithms.datastructures.heaps,LeftistHeap.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.heaps,MaxHeap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.heaps,MinHeap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.heaps,MinPriorityQueue,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,CircleLinkedList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,CircleLinkedList.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: next; value
.,com.thealgorithms.datastructures.lists,CircleLinkedList.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,CountSinglyLinkedListRecursion,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,CreateAndDetectLoop,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,CursorLinkedList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,CursorLinkedList.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: element; next
.,com.thealgorithms.datastructures.lists,CursorLinkedList.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,DoublyLinkedList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,DoublyLinkedList.Link,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value; next; previous
.,com.thealgorithms.datastructures.lists,DoublyLinkedList.Link,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,DoublyLinkedList.Link,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: value; next; previous
.,com.thealgorithms.datastructures.lists,DoublyLinkedList.LinkOperations,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: head; tail; size
.,com.thealgorithms.datastructures.lists,DoublyLinkedList.LinkOperations,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,MergeSortedArrayList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,MergeSortedSinglyLinkedList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,Merge_K_SortedLinkedlist,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,Merge_K_SortedLinkedlist.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: data; next
.,com.thealgorithms.datastructures.lists,Merge_K_SortedLinkedlist.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,RandomNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,RandomNode.ListNode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: val; next
.,com.thealgorithms.datastructures.lists,RandomNode.ListNode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,SearchSinglyLinkedListRecursion,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,SinglyLinkedList,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
.,com.thealgorithms.datastructures.lists,SinglyLinkedList.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value; next
.,com.thealgorithms.datastructures.lists,SinglyLinkedList.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,SkipList.Node,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value; height; forward; backward
.,com.thealgorithms.datastructures.lists,SkipList.Node,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,com.thealgorithms.datastructures.lists,SkipList.HeightStrategy,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
