Project Name,Package Name,Architecture Smell,Cause of the Smell
.,com.thealgorithms.maths,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AbsoluteMax; AbsoluteMaxTest]; [AbsoluteMin; AbsoluteMinTest]; [AbsoluteValue; AbsoluteValueTest]; [AliquotSum; AliquotSumTest]; [AmicableNumber; AmicableNumberTest]; [Area; AreaTest]; [Armstrong; ArmstrongTest; TestArmstrong]; [AutomorphicNumber; AutomorphicNumberTest]; [Average; AverageTest]; [BinaryPow; BinaryPowTest]; [BinomialCoefficient; BinomialCoefficientTest]; [Ceil; CeilTest]; [CircularConvolutionFFT; FFT; FFTBluestein; FFTTest; ConvolutionFFT]; [CollatzConjecture; CollatzConjectureTest]; [Combinations; CombinationsTest]; [Convolution]; [DeterminantOfMatrix]; [DigitalRoot; DigitalRootTest]; [DistanceFormula; DistanceFormulaTest]; [DudeneyNumber; DudeneyNumberTest]; [EulerMethod]; [Factorial; FactorialTest]; [FactorialRecursion]; [FastInverseSqrt; FastInverseSqrtTests]; [FFT.Complex]; [FibonacciJavaStreams; FibonacciJavaStreamsTest]; [FibonacciNumberCheck; FibonacciNumberCheckTest]; [FindKthNumber]; [FindMax; FindMaxTest]; [FindMaxRecursion]; [FindMin; FindMinTest]; [FindMinRecursion]; [Floor]; [FrizzyNumber; FrizzyNumberTest]; [Gaussian; GaussianTest]; [GCD; PollardRho; GCDTest; PollardRhoTest]; [GCDRecursion]; [GenericRoot]; [HarshadNumber; HarshadNumberTest]; [HeronsFormula; HeronsFormulaTest]; [JosephusProblem; JosephusProblemTest]; [JugglerSequence]; [KaprekarNumbers; KaprekarNumbersTest]; [KeithNumber]; [KrishnamurthyNumber]; [LeastCommonMultiple; LeastCommonMultipleTest]; [LeonardoNumber; LeonardoNumberTest]; [LinearDiophantineEquationsSolver]; [LinearDiophantineEquationsSolver.Solution]; [LinearDiophantineEquationsSolver.GcdSolutionWrapper]; [LiouvilleLambdaFunction; PrimeFactorization; SquareFreeInteger; LiouvilleLambdaFunctionTest; PrimeFactorizationTest; SquareFreeIntegerTest]; [LongDivision; LongDivisionTest]; [LucasSeries; LucasSeriesTest]; [MagicSquare]; [MatrixUtil]; [MaxValue]; [Median; MedianTest]; [MinValue]; [MobiusFunction; PrimeCheck; TwinPrime; MobiusFunctionTest; PrimeCheckTest; TwinPrimeTest]; [Mode]; [NonRepeatingElement]; [NthUglyNumber; NthUglyNumberTest]; [NumberOfDigits]; [PalindromeNumber; PalindromeNumberTest]; [ParseInteger; ParseIntegerTest]; [PascalTriangle; PascalTriangleTest]; [PerfectCube; PerfectCubeTest]; [PerfectNumber; PerfectNumberTest]; [PerfectSquare; PerfectSquareTest]; [Perimeter; PerimeterTest]; [PiNilakantha]; [Pow]; [PowerOfTwoOrNot]; [PowRecursion]; [PronicNumber; PronicNumberTest]; [PythagoreanTriple; PythagoreanTripleTest]; [ReverseNumber; ReverseNumberTest]; [RomanNumeralUtil]; [SimpsonIntegration]; [SquareRootWithBabylonianMethod; SquareRootwithBabylonianMethodTest]; [SquareRootWithNewtonRaphsonMethod; SquareRootWithNewtonRaphsonTestMethod]; [StandardDeviation; StandardDeviationTest]; [StandardScore; StandardScoreTest]; [SumOfArithmeticSeries; SumOfArithmeticSeriesTest]; [SumOfDigits; SumOfDigitsTest]; [SumWithoutArithmeticOperators; SumWithoutArithmeticOperatorsTest]; [TrinomialTriangle]; [VampireNumber]; [VectorCrossProduct]; [Volume; VolumeTest]; [ADTFractionTest]. LCC (Lack of Component Cohesion) = 0.56
.,com.thealgorithms.misc,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ColorContrastRatio]; [InverseOfMatrix]; [matrixTranspose]; [MedianOfRunningArray]; [PalindromePrime]; [PalindromeSinglyLinkedList]; [RangeInSortedArray]; [Sort012D]; [Sparcity]; [ThreeSumProblem]; [WordBoggle]; [WordBoggle.TrieNode]; [WordBoggle.Trie]. LCC (Lack of Component Cohesion) = 1.0
.,com.thealgorithms.others,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 94
.,com.thealgorithms.others,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ArrayLeftRotation; ArrayLeftRotationTest]; [BankersAlgorithm]; [BFPRT]; [BoyerMoore]; [BrianKernighanAlgorithm]; [Conway; ConwayTest]; [CountChar; CountCharTest]; [countSetBits; countSetBitsTest]; [CountWords; TopKWords; CountWordsTest]; [CRC16; CRC16Test]; [CRC32]; [CRCAlgorithm; CRCAlgorithmTest]; [Damm]; [Dijkstra]; [Dijkstra.Graph]; [Dijkstra.Edge]; [Dijkstra.Vertex]; [EulersFunction; EulersFunctionTest]; [FibbonaciSeries]; [FloydTriangle]; [GuassLegendre]; [HappyNumbersSeq]; [HuffmanNode]; [HuffmanNode.MyComparator]; [HuffmanNode.Huffman]; [Trieac]; [Trieac.TrieNode]; [InsertDeleteInArray]; [KMP]; [KochSnowflake]; [KochSnowflake.Vector2]; [Krishnamurthy]; [LinearCongruentialGenerator]; [LineSweep; LineSweepTest]; [LowestBasePalindrome; LowestBasePalindromeTest]; [Luhn]; [Mandelbrot]; [MemoryManagementAlgorithms; MemoryManagementAlgorithms.BestFitCPU; MemoryManagementAlgorithms.WorstFitCPU; MemoryManagementAlgorithms.FirstFitCPU; MemoryManagementAlgorithms.NextFit; BestFitCPUTest; FirstFitCPUTest; NextFitCPUTest; WorstFitCPUTest]; [MiniMaxAlgorithm]; [PageRank]; [PasswordGen; PasswordGenTest]; [PerlinNoise]; [PrintAMatrixInSpiralOrder; TestPrintMatrixInSpiralOrder]; [QueueWithStack]; [QueueWithStack.QueueUsingTwoStacks]; [RabinKarp]; [RemoveDuplicateFromString]; [ReturnSubsequence]; [ReverseStackUsingRecursion]; [RootPrecision]; [Rotate_by_90_degree]; [Rotate_by_90_degree.Rotate]; [SieveOfEratosthenes; SieveOfEratosthenesTest]; [SieveOfEratosthenes.Type]; [SkylineProblem]; [SkylineProblem.Skyline]; [SkylineProblem.Building]; [StackPostfixNotation; StackPostfixNotationTest]; [StringMatchFiniteAutomata]; [Sudoku]; [TopKWords.CountWords]; [TowerOfHanoi]; [TwoPointers; TwoPointersTest]; [Verhoeff]; [CalculateMaxOfMinTest]; [CountFriendsPairingTest]; [KadaneAlogrithmTest]; [LinkListSortTest]; [NewManShanksPrimeTest]; [UniquePathsTests]. LCC (Lack of Component Cohesion) = 0.74
.,com.thealgorithms.scheduling,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [FCFSScheduling; FCFSSchedulingTest]; [RRScheduling; RRSchedulingTest]; [SJFScheduling; SJFSchedulingTest]. LCC (Lack of Component Cohesion) = 0.5
.,com.thealgorithms.searches,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 41
.,com.thealgorithms.searches,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BinarySearch]; [BinarySearch2dArray; BinarySearch2dArrayTest]; [BreadthFirstSearch; BreadthFirstSearchTest; DepthFirstSearch]; [DepthFirstSearch.Node]; [ExponentialSearch]; [FibonacciSearch]; [HowManyTimesRotated; HowManyTimesRotatedTest]; [InterpolationSearch]; [IterativeBinarySearch]; [IterativeTernarySearch]; [JumpSearch]; [KMPSearch; KMPSearchTest]; [LinearSearch]; [LinearSearchThread]; [LinearSearchThread.Searcher]; [LowerBound]; [MonteCarloTreeSearch]; [MonteCarloTreeSearch.Node]; [OrderAgnosticBinarySearch; OrderAgnosticBinarySearchTest]; [PerfectBinarySearch]; [QuickSelect; QuickSelectTest]; [RabinKarpAlgorithm; RabinKarpAlgorithmTest]; [RowColumnWiseSorted2dArrayBinarySearch]; [SaddlebackSearch]; [SearchInARowAndColWiseSortedMatrix; TestSearchInARowAndColWiseSortedMatrix]; [sortOrderAgnosticBinarySearch; sortOrderAgnosticBinarySearchTest]; [SquareRootBinarySearch]; [TernarySearch]; [UnionFind]; [UpperBound]; [RowColumnWiseSorted2dArrayBinarySearchTest]. LCC (Lack of Component Cohesion) = 0.76
.,com.thealgorithms.sorts,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 79
.,com.thealgorithms.sorts,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BeadSort; BeadSortTest]; [BinaryInsertionSort; BinaryInsertionSortTest]; [BitonicSort]; [BogoSort; SortAlgorithm; SortUtils; StoogeSort; SwapSort; TimSort; TreeSort; WiggleSort; BogoSortTest; HeapSortTest; InsertionSortTest; MergeSortTest; QuickSortTest; SortingAlgorithmTest; SortUtilsTest; TimSortTest; TreeSortTest; WiggleSortTest; BubbleSort; BubbleSortTest; BubbleSortRecursion; CircleSort; CocktailShakerSort; CocktailShakerSortTest; CombSort; CombSortTest; CountingSort; CycleSort; DualPivotQuickSort; DualPivotQuickSortTest; DutchNationalFlagSort; DutchNationalFlagSortTest; GnomeSort; HeapSort; InsertionSort; SortUtilsRandomGenerator; SortUtilsRandomGeneratorTest; IntrospectiveSort; IntrospectiveSortTest; MergeSort; PancakeSort; QuickSort; SelectionSort; SelectionSortTest; ShellSort; ShellSortTest; SimpleSort; SimpleSortTest; SlowSort; SlowSortTest]; [BucketSort; BucketSortTest]; [DNFSort]; [LinkListSort]; [LinkListSort.Node]; [LinkListSort.Task]; [LinkListSort.Task1]; [LinkListSort.Task2]; [MergeSortNoExtraSpace]; [MergeSortRecursive; MergeSortRecursiveTest]; [MergeSortRecursive.App]; [OddEvenSort; OddEvenSortTest]; [PigeonholeSort]; [RadixSort]; [StrandSort]; [TopologicalSort; TopologicalSortTest]; [TopologicalSort.Color]; [TopologicalSort.Vertex]; [TopologicalSort.Graph]; [TopologicalSort.BackEdgeException]; [StrandSortTest]. LCC (Lack of Component Cohesion) = 0.3
.,com.thealgorithms.strings,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 45
.,com.thealgorithms.strings,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Alphabetical; AlphabeticalTest]; [Anagrams; AnagramsTest]; [CharactersSame; CharacterSameTest]; [CheckAnagrams; CheckAnagramsTest]; [CheckVowels; CheckVowelsTest]; [HammingDistance; HammingDistanceTest]; [HorspoolSearch; HorspoolSearchTest]; [Isomorphic; IsomorphicTest]; [LetterCombinationsOfPhoneNumber; LetterCombinationsOfPhoneNumberTest]; [longestNonRepeativeSubstring; longestNonRepeativeSubstringTest]; [LongestPalindromicSubstring]; [LongestPalindromicSubstring.Solution]; [Lower; LowerTest]; [MyAtoi; MyAtoiTest]; [Palindrome; PalindromeTest]; [Pangram; PangramTest]; [PermuteString]; [ReverseString; ReverseStringTest]; [ReverseStringRecursive; ReverseStringRecursiveTest]; [Rotation; RotationTest]; [StringCompression; StringCompressionTest]; [Upper; UpperTest]; [ValidParentheses; ValidParenthesesTest]; [WordLadder; WordLadderTest]. LCC (Lack of Component Cohesion) = 0.53
