Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
.,com.thealgorithms.datastructures.hashmap.hashing,HashMap.Node,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.thealgorithms.datastructures.hashmap.hashing,Main,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.hashmap.hashing.HashMap
.,com.thealgorithms.datastructures.hashmap.hashing,MainCuckooHashing,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.hashmap.hashing.HashMapCuckooHashing
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayListTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.hashmap.hashing.GenericHashMapUsingArrayList
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.hashmap.hashing.GenericHashMapUsingArray
.,com.thealgorithms.datastructures.heaps,FibonacciHeapTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.heaps.FibonacciHeap
.,com.thealgorithms.datastructures.heaps,LeftistHeapTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.heaps.LeftistHeap
.,com.thealgorithms.datastructures.lists,CreateAndDetectLoop,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.lists.SinglyLinkedList
.,com.thealgorithms.datastructures.lists,MergeSortedSinglyLinkedList,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.lists.SinglyLinkedList
.,com.thealgorithms.datastructures.lists,MergeSortedSinglyLinkedList,Law of Demeter violation,The tool detected the smell in this method (main) because the method voilates the law of Demeter. The long chain of method invocations is : com.thealgorithms.datastructures.lists.SinglyLinkedList.toString; com.thealgorithms.datastructures.lists.MergeSortedSinglyLinkedList.merge
.,com.thealgorithms.datastructures.lists,SkipList.BernoulliHeightStrategy,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.lists.SinglyLinkedList
.,com.thealgorithms.datastructures.lists,SkipListTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.lists.SkipList
.,com.thealgorithms.datastructures.queues,LinkedQueueTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.queues.LinkedQueue
.,com.thealgorithms.datastructures.queues,PriorityQueuesTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.queues.PriorityQueue
.,com.thealgorithms.datastructures.trees,BinaryTreeTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.trees.BinaryTree
.,com.thealgorithms.datastructures.trees,BSTIterativeTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.trees.BSTIterative
.,com.thealgorithms.datastructures.trees,BSTRecursiveTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.trees.BSTRecursive
.,com.thealgorithms.datastructures.trees,KDTreeTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.trees.KDTree
.,com.thealgorithms.datastructures.trees,LazySegmentTreeTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.trees.LazySegmentTree
.,com.thealgorithms.divideandconquer,ClosestPair.Location,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.thealgorithms.divideandconquer,SkylineAlgorithm.Point,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.thealgorithms.divideandconquer,StrassenMatrixMultiplicationTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.divideandconquer.StrassenMatrixMultiplication
.,com.thealgorithms.dynamicprogramming,BoardPath,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: startTime; endTime
.,com.thealgorithms.dynamicprogramming,KnapsackMemoizationTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.dynamicprogramming.KnapsackMemoization
.,com.thealgorithms.dynamicprogramming,OptimalJobSchedulingTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.dynamicprogramming.OptimalJobScheduling
.,com.thealgorithms.dynamicprogramming,SubsetCountTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.dynamicprogramming.SubsetCount
.,com.thealgorithms.dynamicprogramming,SubsetCountTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: obj
.,com.thealgorithms.geometry,GrahamScanTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.geometry.GrahamScan
.,com.thealgorithms.io,BufferedReaderTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.io.BufferedReader
.,com.thealgorithms.maths,LinearDiophantineEquationsSolver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NO_SOLUTION; INFINITE_SOLUTIONS
.,com.thealgorithms.maths,LinearDiophantineEquationsSolver.Solution,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.thealgorithms.maths,LinearDiophantineEquationsSolver.Solution,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NO_SOLUTION; INFINITE_SOLUTIONS
.,com.thealgorithms.maths,LinearDiophantineEquationsSolver.GcdSolutionWrapper,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.thealgorithms.maths,ArmstrongTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.maths.Armstrong
.,com.thealgorithms.maths,CollatzConjectureTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.maths.CollatzConjecture
.,com.thealgorithms.maths,NthUglyNumberTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.maths.NthUglyNumber
.,com.thealgorithms.maths,SumOfDigitsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.maths.SumOfDigits
.,com.thealgorithms.maths,SumWithoutArithmeticOperatorsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.maths.SumWithoutArithmeticOperators
.,com.thealgorithms.maths,TestArmstrong,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.maths.Armstrong
.,com.thealgorithms.misc,PalindromeSinglyLinkedList,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.lists.SinglyLinkedList
.,com.thealgorithms.others,Dijkstra.Edge,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.thealgorithms.others,Dijkstra.Vertex,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
.,com.thealgorithms.others,Trieac,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALPHABET_SIZE
.,com.thealgorithms.others,RabinKarp,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: scanner; d
.,com.thealgorithms.others,StringMatchFiniteAutomata,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CHARS; FA; scanner
.,com.thealgorithms.others,BestFitCPUTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.others.MemoryManagementAlgorithms
.,com.thealgorithms.others,countSetBitsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.others.countSetBits
.,com.thealgorithms.others,CRC16Test,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.others.CRC16
.,com.thealgorithms.others,CRCAlgorithmTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.others.CRCAlgorithm
.,com.thealgorithms.others,FirstFitCPUTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.others.MemoryManagementAlgorithms
.,com.thealgorithms.others,NextFitCPUTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.others.MemoryManagementAlgorithms
.,com.thealgorithms.others,TestPrintMatrixInSpiralOrder,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.others.PrintAMatrixInSpiralOrder
.,com.thealgorithms.others,WorstFitCPUTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.others.MemoryManagementAlgorithms
.,com.thealgorithms.scheduling,FCFSSchedulingTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.devutils.entities.ProcessDetails; com.thealgorithms.scheduling.FCFSScheduling
.,com.thealgorithms.scheduling,RRSchedulingTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.scheduling.RRScheduling; com.thealgorithms.devutils.entities.ProcessDetails
.,com.thealgorithms.scheduling,SJFSchedulingTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.scheduling.SJFScheduling
.,com.thealgorithms.searches,RabinKarpAlgorithm,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: d
.,com.thealgorithms.searches,KMPSearchTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.searches.KMPSearch
.,com.thealgorithms.searches,RabinKarpAlgorithmTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.searches.RabinKarpAlgorithm
.,com.thealgorithms.searches,TestSearchInARowAndColWiseSortedMatrix,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.searches.SearchInARowAndColWiseSortedMatrix
.,com.thealgorithms.sorts,TimSort,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.sorts.InsertionSort
.,com.thealgorithms.sorts,TreeSort,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.trees.BSTRecursiveGeneric
.,com.thealgorithms.sorts,BeadSortTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.sorts.BeadSort
.,com.thealgorithms.sorts,BinaryInsertionSortTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.sorts.BinaryInsertionSort
.,com.thealgorithms.sorts,MergeSortRecursiveTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.sorts.MergeSortRecursive
.,com.thealgorithms.strings,AnagramsTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.strings.Anagrams
.,com.thealgorithms.strings,ReverseStringRecursiveTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.strings.ReverseStringRecursive
.,com.thealgorithms.datastructures.hashmap,HashMapCuckooHashingTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.thealgorithms.datastructures.hashmap.hashing.HashMapCuckooHashing
