Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
.,com.thealgorithms.conversions,HexToOctTest,testHexToOct,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.conversions.HexToOct.decimal2octal; com.thealgorithms.conversions.HexToOct.hex2decimal
.,com.thealgorithms.conversions,IntegerToRomanTest,testIntegerToRoman,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,OctalToBinaryTest,testConvertOctalToBinary,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.conversions,OctalToDecimalTest,testOctalToDecimal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,OctalToHexadecimalTest,testOctalToHexadecimal,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.conversions,OctalToHexadecimalTest,testOctalToHexadecimal,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.conversions.OctalToHexadecimal.decimalToHex; com.thealgorithms.conversions.OctalToHexadecimal.octToDec
.,com.thealgorithms.conversions,RomanToIntegerTest,testRomanToInteger,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.bloomfilter,BloomFilterTest,test1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.bloomfilter,BloomFilterTest,test2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.buffers,CircularBufferTest,isEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.buffers,CircularBufferTest,isFull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.buffers,CircularBufferTest,get,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.buffers,CircularBufferTest,put,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.caches,LFUCacheTest,testLFUCacheWithIntegerValueShouldPass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.datastructures.caches,LFUCacheTest,testLFUCacheWithStringValueShouldPass,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.datastructures.caches,LFUCacheTest,testAddNodeWithUpdatedFrequency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.caches,LRUCacheTest,nullKeysAndValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.caches,MRUCacheTest,nullKeysAndValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayListTest,testGenericHashmapWhichUsesArrayAndBothKeyAndValueAreStrings,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayListTest,testGenericHashmapWhichUsesArrayAndKeyIsStringValueIsInteger,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayListTest,testGenericHashmapWhichUsesArrayAndKeyIsIntegerValueIsString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayTest,testGenericHashmapWhichUsesArrayAndBothKeyAndValueAreStrings,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayTest,testGenericHashmapWhichUsesArrayAndKeyIsStringValueIsInteger,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.datastructures.hashmap.hashing,GenericHashMapUsingArrayTest,testGenericHashmapWhichUsesArrayAndKeyIsIntegerValueIsString,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.datastructures.hashmap.hashing,MapTest,putTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,com.thealgorithms.datastructures.hashmap.hashing,MapTest,getTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.hashmap.hashing,MapTest,deleteTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.hashmap.hashing,MapTest,containsTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.hashmap.hashing,MapTest,sizeTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.hashmap.hashing,MapTest,keysTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.hashmap.hashing,MapTest,hashTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.datastructures.heaps,FibonacciHeapTest,testHeap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.heaps,FibonacciHeapTest,testHeap,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.heaps.FibonacciHeap.findMin; com.thealgorithms.datastructures.heaps.FibonacciHeap.insert; com.thealgorithms.datastructures.heaps.FibonacciHeap.deleteMin
.,com.thealgorithms.datastructures.heaps,LeftistHeapTest,testLeftistHeap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,com.thealgorithms.datastructures.heaps,LeftistHeapTest,testLeftistHeap,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.heaps.LeftistHeap.insert; com.thealgorithms.datastructures.heaps.LeftistHeap.clear; com.thealgorithms.datastructures.heaps.LeftistHeap.in_order; com.thealgorithms.datastructures.heaps.LeftistHeap.extract_min; com.thealgorithms.datastructures.heaps.LeftistHeap.isEmpty
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,detectLoop,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,middle,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,middle,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.lists.SinglyLinkedList.getHead; com.thealgorithms.datastructures.lists.SinglyLinkedList.middle
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,swap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,swap,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.lists.SinglyLinkedList.swapNodes; com.thealgorithms.datastructures.lists.SinglyLinkedList.getHead; com.thealgorithms.datastructures.lists.SinglyLinkedList.getNth
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,clear,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,clear,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.lists.SinglyLinkedList.clear; com.thealgorithms.datastructures.lists.SinglyLinkedList.size; com.thealgorithms.datastructures.lists.SinglyLinkedList.isEmpty
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,search,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,deleteNth,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,deleteNth,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.lists.SinglyLinkedList.search; com.thealgorithms.datastructures.lists.SinglyLinkedList.deleteNth
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,reverseList,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.datastructures.lists,SinglyLinkedListTest,reverseList,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.lists.SinglyLinkedList.reverseList; com.thealgorithms.datastructures.lists.SinglyLinkedList.getHead
.,com.thealgorithms.datastructures.lists,SkipListTest,add,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.queues,LinkedQueueTest,testQue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.queues,LinkedQueueTest,testQue,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.queues.LinkedQueue.peekRear; com.thealgorithms.datastructures.queues.LinkedQueue.peek
.,com.thealgorithms.datastructures.queues,LinkedQueueTest,testQue,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
.,com.thealgorithms.datastructures.queues,PriorityQueuesTest,testPQInsertion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.queues,PriorityQueuesTest,testPQInsertion,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.queues.PriorityQueue.peek; com.thealgorithms.datastructures.queues.PriorityQueue.insert
.,com.thealgorithms.datastructures.queues,PriorityQueuesTest,testPQDeletion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.queues,PriorityQueuesTest,testPQDeletion,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.queues.PriorityQueue.peek; com.thealgorithms.datastructures.queues.PriorityQueue.remove; com.thealgorithms.datastructures.queues.PriorityQueue.insert
.,com.thealgorithms.datastructures.queues,PriorityQueuesTest,testPQExtra,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
.,com.thealgorithms.datastructures.queues,PriorityQueuesTest,testPQExtra,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.queues.PriorityQueue.peek; com.thealgorithms.datastructures.queues.PriorityQueue.remove; com.thealgorithms.datastructures.queues.PriorityQueue.isEmpty; com.thealgorithms.datastructures.queues.PriorityQueue.isFull; com.thealgorithms.datastructures.queues.PriorityQueue.insert; com.thealgorithms.datastructures.queues.PriorityQueue.getSize
.,com.thealgorithms.datastructures.trees,BinaryTreeTest,test1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,BinaryTreeTest,test1,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.trees.BinaryTree.put; com.thealgorithms.datastructures.trees.BinaryTree.find
.,com.thealgorithms.datastructures.trees,BinaryTreeTest,test3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,BinaryTreeTest,test3,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.trees.BinaryTree.put; com.thealgorithms.datastructures.trees.BinaryTree.remove
.,com.thealgorithms.datastructures.trees,BinaryTreeTest,test4,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,BinaryTreeTest,test4,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.trees.BinaryTree.put; com.thealgorithms.datastructures.trees.BinaryTree.getRoot; com.thealgorithms.datastructures.trees.BinaryTree.bfs; com.thealgorithms.datastructures.trees.BinaryTree.preOrder; com.thealgorithms.datastructures.trees.BinaryTree.remove; com.thealgorithms.datastructures.trees.BinaryTree.postOrder; com.thealgorithms.datastructures.trees.BinaryTree.find; com.thealgorithms.datastructures.trees.BinaryTree.inOrder
.,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalancedTest,testRootNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalancedTest,testOneNode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalancedTest,testBinaryTreeIsBalancedEqualSubtreeHeights,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalancedTest,testBinaryTreeIsBalancedWithDifferentHeights,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalancedTest,testBinaryTreeNotBalanced,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,CheckIfBinaryTreeBalancedTest,testBinaryTreeNotBalancedBecauseLeftTreeNotBalanced,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorderTest,testOnNullArraysShouldReturnNullTree,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorderTest,testOnNullArraysShouldReturnNullTree,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.trees.CreateBinaryTreeFromInorderPreorder.createTree; com.thealgorithms.datastructures.trees.CreateBinaryTreeFromInorderPreorder.createTreeOptimized
.,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorderTest,testOnEmptyArraysShouldCreateNullTree,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorderTest,testOnEmptyArraysShouldCreateNullTree,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.trees.CreateBinaryTreeFromInorderPreorder.createTree; com.thealgorithms.datastructures.trees.CreateBinaryTreeFromInorderPreorder.createTreeOptimized
.,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorderTest,testOnSingleNodeTreeShouldCreateCorrectTree,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorderTest,testOnRightSkewedTreeShouldCreateCorrectTree,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorderTest,testOnLeftSkewedTreeShouldCreateCorrectTree,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.datastructures.trees,CreateBinaryTreeFromInorderPreorderTest,testOnNormalTreeShouldCreateCorrectTree,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
.,com.thealgorithms.datastructures.trees,InorderTraversalTest,testNullRoot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,InorderTraversalTest,testRecursiveInorder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,InorderTraversalTest,testRecursiveInorderNonBalanced,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,KDTreeTest,findMin,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,KDTreeTest,delete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,KDTreeTest,delete,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.trees.KDTree.getRoot; com.thealgorithms.datastructures.trees.KDTree.delete
.,com.thealgorithms.datastructures.trees,KDTreeTest,findNearest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.datastructures.trees,LazySegmentTreeTest,build,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.datastructures.trees,LazySegmentTreeTest,update,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.datastructures.trees,LazySegmentTreeTest,update,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.trees.LazySegmentTree.updateRange; com.thealgorithms.datastructures.trees.LazySegmentTree.getRoot
.,com.thealgorithms.datastructures.trees,LazySegmentTreeTest,get,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
.,com.thealgorithms.datastructures.trees,LazySegmentTreeTest,updateAndGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,LazySegmentTreeTest,updateAndGet,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.datastructures.trees.LazySegmentTree.updateRange; com.thealgorithms.datastructures.trees.LazySegmentTree.getRange
.,com.thealgorithms.datastructures.trees,PostOrderTraversalTest,testNullRoot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,PostOrderTraversalTest,testPostOrder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,PostOrderTraversalTest,testPostOrderNonBalanced,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,PreOrderTraversalTest,testNullRoot,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,PreOrderTraversalTest,testRecursivePreOrder,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.datastructures.trees,PreOrderTraversalTest,testRecursivePreOrderNonBalanced,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.divideandconquer,BinaryExponentiationTest,testCalculatePower,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,com.thealgorithms.divideandconquer,BinaryExponentiationTest,testPower,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
.,com.thealgorithms.dynamicprogramming,CatalanNumberTest,testCatalanNumber,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.io,BufferedReaderTest,testPeeks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
.,com.thealgorithms.io,BufferedReaderTest,testPeeks,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.io.BufferedReader.read; com.thealgorithms.io.BufferedReader.available; com.thealgorithms.io.BufferedReader.peek
.,com.thealgorithms.io,BufferedReaderTest,testMixes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
.,com.thealgorithms.io,BufferedReaderTest,testMixes,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.io.BufferedReader.read; com.thealgorithms.io.BufferedReader.available; com.thealgorithms.io.BufferedReader.peek
.,com.thealgorithms.io,BufferedReaderTest,testBlockPractical,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
.,com.thealgorithms.io,BufferedReaderTest,testBlockPractical,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.thealgorithms.io.BufferedReader.read; com.thealgorithms.io.BufferedReader.available; com.thealgorithms.io.BufferedReader.peek; com.thealgorithms.io.BufferedReader.readBlock
.,com.thealgorithms.io,BufferedReaderTest,testBlockPractical,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
.,com.thealgorithms.io,BufferedReaderTest,testBlockPractical,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
.,com.thealgorithms.maths,AbsoluteMaxTest,testGetMaxValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
.,com.thealgorithms.maths,AbsoluteMinTest,testGetMinValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,AbsoluteMinTest,testGetMinValueWithNoArguments,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,ADTFractionTest,testConstructorWithDenominatorEqualToZero,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,ADTFractionTest,testTimes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,ADTFractionTest,testEqualsAndHashCode,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
.,com.thealgorithms.maths,AliquotSumTest,testGetMaxValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
